label,text
netral,marcus aurelius mengingatkan: kita hidup hanya sekarang. segalanya lainnya entah sudah berlalu atau belum diketahui
cape,"terimalah tanpa kesombongan, lepaskan tanpa perjuangan. pesan marcus aurelius"
jijik,"ini adalah tanda kesempurnaan karakter - menghabiskan setiap hari seolah-olah itu hari terakhirmu, tanpa kebingungan, kemalasan, atau pura-pura — marcus aurelius, meditations"
marah,"kata marcus aurelius: seberapa banyak waktu yang dia dapatkan yang tidak memandang kemarahan dan ketidaksenangan tentang sesuatu, karena itu sama sekali tidak peduli"
senang,marcus aurelius mengingatkan: hidup singkat - buah dari hidup ini adalah karakter yang baik dan tindakan untuk kebaikan bersama
netral,hiduplah dengan bijak: karena dalam kekuasaanmu untuk mundur ke dalam dirimu sendiri kapan saja kamu mau
takut,"kata marcus aurelius: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup. pesan marcus aurelius"
marah,"hiduplah dengan kebenaran dan keadilan, toleran terhadap mereka yang tidak benar atau tidak adil. pesan marcus aurelius."
marah,"mulailah setiap hari dengan memberi tahu dirimu sendiri: hari ini saya akan bertemu dengan gangguan, ketidakberterimaan, ketidakadilan, kemauan buruk, dan egoisme - semuanya karena ketidaktahuan pelaku tentang apa yang baik atau jahat. itulah nasihat marcus aurelius. — marcus aurelius, meditations"
takut,"kata marcus aurelius: hiduplah dengan bijak: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup"
kaget,seperti kata marcus aurelius: takut akan perubahan
senang,kata marcus aurelius: hidup bahagia memerlukan sedikit saja; semuanya ada di dalam dirimu dalam cara berpikirmu
takut,"seperti kata marcus aurelius: renungkan: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup"
takut,"hiduplah dengan bijak: marcus aurelius mengingatkan: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup. demikian pesan sang filsuf"
jijik,"jika seseorang dapat menunjukkan kepadaku bahwa apa yang saya pikirkan atau lakukan tidak benar, saya akan dengan senang hati berubah, karena saya mencari kebenaran, yang tidak pernah merugikan siapa pun secara sungguh-sungguh. itu orang yang terus berada dalam penipuan diri dan ketidaktahuan yang merugikan — marcus aurelius"
sedih,"dalam meditations, marcus aurelius menulis: pikirkanlah hidup yang telah kamu jalani sampai sekarang sebagai berakhir, dan sebagai seorang yang sudah mati, lihatlah apa yang masih tersisa sebagai bonus dan hiduplah sesuai dengan alam. cintailah tangan yang takdir berikan padamu dan mainkanlah seperti milikmu sendiri, karena apakah yang lebih cocok"
cape,"seperti kata marcus aurelius: penting bagi anda untuk ingat bahwa perhatian yang anda berikan pada setiap tindakan harus sebanding dengan nilainya, karena itu tidak akan membuatmu lelah dan menyerah, jika kamu tidak sibuk dengan hal-hal yang lebih kecil daripada yang seharusnya diizinkan. demikian pesan sang filsuf."
netral,"jika kamu tertekan oleh sesuatu yang eksternal, rasa sakitnya bukan karena hal itu sendiri, tetapi karena penilaianmu terhadapnya"";"" dan ini dapat kamu batalkan kapan saja. pesan marcus aurelius."
kaget,"kata marcus aurelius: dalam meditations, marcus aurelius menulis: seni hidup lebih mirip bergulat daripada menari, karena hidup yang berkelas memerlukan persiapan untuk menghadapi dan menahan serangan yang tiba-tiba dan tak terduga"
cape,"[aku belajar] membaca dengan tekun"";"" tidak puas dengan pengetahuan yang ringan dan dangkal, dan tidak cepat setuju dengan hal-hal yang umum dibicarakan. pesan marcus aurelius"
cape,kata marcus aurelius: lihatlah ke dalam dirimu; ada sumber kekuatan yang akan selalu muncul jika kamu terus melihat. demikian pesan sang filsuf.
cape,"peringatan marcus aurelius: penting bagi anda untuk ingat bahwa perhatian yang anda berikan pada setiap tindakan harus sebanding dengan nilainya, karena itu tidak akan membuatmu lelah dan menyerah, jika kamu tidak sibuk dengan hal-hal yang lebih kecil daripada yang seharusnya diizinkan"
takut,"marcus aurelius berkata: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup — filsuf stoa."
senang,jangan buang waktu lagi untuk bertengkar tentang seperti apa seharusnya seorang pria baik. jadilah satu. pesan marcus aurelius.
cape,"marcus aurelius berkata: [aku belajar] membaca dengan tekun"";"" tidak puas dengan pengetahuan yang ringan dan dangkal, dan tidak cepat setuju dengan hal-hal yang umum dibicarakan"
marah,"kata marcus aurelius: hiduplah dengan kebenaran dan keadilan, toleran terhadap mereka yang tidak benar atau tidak adil"
kaget,takut akan perubahan — marcus aurelius. pesan marcus aurelius.
cape,"terimalah tanpa kesombongan, lepaskan tanpa perjuangan — marcus aurelius, meditations"
jijik,"renungkan: kebaikan hati adalah tak terkalahkan, tetapi hanya jika itu tulus, tanpa kepura-puraan atau pemalsuan. apa yang dapat dilakukan orang jahat terhadapmu jika kamu terus menunjukkan kebaikan hati dan, jika diberi kesempatan, dengan lembut menunjukkan di mana mereka salah - tepat saat mereka mencoba menyakitimu"
jijik,"renungkan: jika seseorang dapat menunjukkan kepadaku bahwa apa yang saya pikirkan atau lakukan tidak benar, saya akan dengan senang hati berubah, karena saya mencari kebenaran, yang tidak pernah merugikan siapa pun secara sungguh-sungguh. itu orang yang terus berada dalam penipuan diri dan ketidaktahuan yang merugikan"
takut,"marcus aurelius berkata: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup. itulah nasihat marcus aurelius"
takut,"marcus aurelius berkata: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup sebuah pelajaran berharga"
takut,"marcus aurelius mengingatkan: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup sebuah pelajaran berharga"
kaget,"marcus aurelius berkata: dapatkah proses penting terjadi tanpa sesuatu yang berubah — marcus aurelius, meditations"
jijik,"ini adalah tanda kesempurnaan karakter - menghabiskan setiap hari seolah-olah itu hari terakhirmu, tanpa kebingungan, kemalasan, atau pura-pura sebuah pelajaran berharga."
jijik,"jika seseorang dapat menunjukkan kepadaku bahwa apa yang saya pikirkan atau lakukan tidak benar, saya akan dengan senang hati berubah, karena saya mencari kebenaran, yang tidak pernah merugikan siapa pun secara sungguh-sungguh. itu orang yang terus berada dalam penipuan diri dan ketidaktahuan yang merugikan. pesan marcus aurelius."
senang,"renungkan: gali dalam dirimu, karena ada sumber kebaikan yang selalu siap mengalir jika kamu terus menggali"
senang,"berilah dirimu waktu untuk belajar sesuatu yang baik, dan berhentilah berkeliaran kesana-kemari sebuah pelajaran berharga."
